"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 22 02:32:15 GMT 2023","Wed Mar 22 02:32:15 GMT 2023","0","Vue 3 Demo","It checks app names & messages","","","","Checks component state message visibility",""
"passed","Wed Mar 22 02:29:49 GMT 2023","Wed Mar 22 02:29:50 GMT 2023","248","Redux Reducer Injection","Checks application","","","","Check that RemoteApp's name from the redux store :  text is visible",""
"passed","Wed Mar 22 02:32:45 GMT 2023","Wed Mar 22 02:32:45 GMT 2023","409","Vite Vue Microfrontends","It checks host app","","","","Checks both cards button is not disabled",""
"passed","Wed Mar 22 02:32:53 GMT 2023","Wed Mar 22 02:32:54 GMT 2023","1138","Vite React Microfrontends","It checks host app","","","","Checks remote app card color is set to black",""
"passed","Wed Mar 22 02:23:29 GMT 2023","Wed Mar 22 02:23:29 GMT 2023","0","Angular Universal SSR","It checks client app","","","","Checks that selection of city info can be reverted after reload",""
"passed","Wed Mar 22 02:21:57 GMT 2023","Wed Mar 22 02:21:57 GMT 2023","5","Native Federation React","It checks components header and console message","","","","Checks Host page header visibility",""
"passed","Wed Mar 22 02:29:48 GMT 2023","Wed Mar 22 02:29:49 GMT 2023","796","Redux Reducer Injection","Checks application","","","","Check that Welcome to Host App text is visible",""
"passed","Wed Mar 22 02:21:57 GMT 2023","Wed Mar 22 02:21:57 GMT 2023","0","Native Federation React","It checks components header and console message","","","","Checks console message visibility in Remote component",""
"passed","Wed Mar 22 02:30:45 GMT 2023","Wed Mar 22 02:30:45 GMT 2023","349","Vite Svelte Microfrontends","It checks names and symbols inside cards","","","","Checks star symbol visibility for host card",""
"passed","Wed Mar 22 02:23:42 GMT 2023","Wed Mar 22 02:23:42 GMT 2023","534","Angular Universal SSR","It checks components functionality","","","","Checks that Home component element text will be visible only if Home tab is active & text is not reverted after reload",""
