"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 24 15:57:37 GMT 2023","Fri Mar 24 15:57:40 GMT 2023","2630","Angular 11 microfrontends NGXS","Check MDMF SHELL App Page","","","","Check App is build and running",""
"passed","Fri Mar 24 15:58:25 GMT 2023","Fri Mar 24 15:58:25 GMT 2023","0","Comprehencive Demo React 18","Check is Comprehensive Demo App3 working and have elements","","","","Check App build and running & Check app elements exist",""
"passed","Fri Mar 24 15:59:28 GMT 2023","Fri Mar 24 15:59:28 GMT 2023","319","Angular Universal SSR","It checks host app","","","","Checks value input visibility",""
"passed","Fri Mar 24 16:23:10 GMT 2023","Fri Mar 24 16:23:11 GMT 2023","776","Vite React Simple","It checks buttons & links on page","","","","Checks webpack texted button is not disabled",""
"passed","Fri Mar 24 16:06:27 GMT 2023","Fri Mar 24 16:06:27 GMT 2023","2","Dynamic Remotes SYnchronous imports","Check App 1","","","","Check App 1 elements exis on the page",""
"passed","Fri Mar 24 16:02:26 GMT 2023","Fri Mar 24 16:02:27 GMT 2023","1268","Angular 15 microfrontends lazy components","Check Apps functionality","","","","Check removing user from table (Remove form Shell)",""
"passed","Fri Mar 24 16:16:13 GMT 2023","Fri Mar 24 16:16:13 GMT 2023","1","Self Healing","It checks self-healing apps","","","","Checks App 1 app name visibility",""
"passed","Fri Mar 24 16:22:11 GMT 2023","Fri Mar 24 16:22:11 GMT 2023","251","Startup Code","It checks startup-code apps","","","","Check App 2 contains button",""
"passed","Fri Mar 24 15:57:03 GMT 2023","Fri Mar 24 15:57:04 GMT 2023","359","Basic Host remote","Check App 2","","","","Check App 2 built and running",""
"passed","Fri Mar 24 16:12:28 GMT 2023","Fri Mar 24 16:12:28 GMT 2023","0","","It checks elements visibility","","","","Checks Footer message visibility",""
"passed","Fri Mar 24 16:15:34 GMT 2023","Fri Mar 24 16:15:37 GMT 2023","3043","NextJS SSR","Check links on Shop page","","","","Check that Home text includes link and is not disabled",""
"skipped","Fri Mar 24 16:20:41 GMT 2023","Fri Mar 24 16:20:41 GMT 2023","150","UMD Federation","Check app1 and app2 starts and running + emenets exist on the page","","","","Check App1 elements",""
"passed","Fri Mar 24 15:58:10 GMT 2023","Fri Mar 24 15:58:11 GMT 2023","667","Angular 14 React","Check Angular-React Application","","","","Check fields validation",""
"passed","Fri Mar 24 16:15:23 GMT 2023","Fri Mar 24 16:15:29 GMT 2023","6030","NextJS SSR","Check links on Home page","","","","Check that Checkout navigation link works",""
"passed","Fri Mar 24 16:14:56 GMT 2023","Fri Mar 24 16:14:59 GMT 2023","2843","NextJS SSR","Check links on Home page","","","","Check that ZEIT text includes link, is not disabled",""
"passed","Fri Mar 24 16:16:24 GMT 2023","Fri Mar 24 16:16:27 GMT 2023","3203","NextJS SSR","Check links on Checkout page","","","","Check that Checkout text navigation link works",""
"passed","Fri Mar 24 16:02:25 GMT 2023","Fri Mar 24 16:02:26 GMT 2023","1180","Angular 15 microfrontends lazy components","Check Apps functionality","","","","Check removing user from table (Remove form Profile)",""
"passed","Fri Mar 24 16:22:39 GMT 2023","Fri Mar 24 16:22:39 GMT 2023","1","Version Descrepancy","It checks apps with dependency versions discrepancy","","","","Checks that both apps shares lodash remote component",""
"passed","Fri Mar 24 16:14:07 GMT 2023","Fri Mar 24 16:14:07 GMT 2023","266","Redux Reducer Injection","Checks application","","","","Check that RemoteApp text is visible",""
"passed","Fri Mar 24 15:59:28 GMT 2023","Fri Mar 24 15:59:29 GMT 2023","306","Angular Universal SSR","It checks host app","","","","Checks value input button visibility",""
"passed","Fri Mar 24 16:12:50 GMT 2023","Fri Mar 24 16:12:50 GMT 2023","402","React HMR","Check remote app","","","","Check the button works",""
"passed","Fri Mar 24 16:15:29 GMT 2023","Fri Mar 24 16:15:31 GMT 2023","2552","NextJS SSR","Check the header content of Shop page","","","","Check the header content of Shop page",""
"passed","Fri Mar 24 15:57:02 GMT 2023","Fri Mar 24 15:57:02 GMT 2023","342","Different React Versions","Check App2","","","","Check App build and running",""
"passed","Fri Mar 24 15:57:28 GMT 2023","Fri Mar 24 15:57:28 GMT 2023","734","Complete React case","Check App1","","","","Check App build and running",""
"passed","Fri Mar 24 16:06:14 GMT 2023","Fri Mar 24 16:06:14 GMT 2023","219","Dynamic System Host","Check App 3","","","","Check buttons in App 3 exist",""
"passed","Fri Mar 24 16:19:44 GMT 2023","Fri Mar 24 16:19:45 GMT 2023","958","Shared Store Cross Framework","It checks shared store cross framework app","","","","Checks increase/decrease actions by Vue buttons + check counter can have negative value",""
"passed","Fri Mar 24 15:59:26 GMT 2023","Fri Mar 24 15:59:26 GMT 2023","0","Angular Universal SSR","It checks client app","","","","Checks that both cities links can be clicked",""
"passed","Fri Mar 24 15:59:29 GMT 2023","Fri Mar 24 15:59:29 GMT 2023","321","Angular Universal SSR","It checks host app","","","","Checks value input button text",""
"passed","Fri Mar 24 16:23:14 GMT 2023","Fri Mar 24 16:23:14 GMT 2023","691","Vite React Simple","It checks buttons & links on page","","","","Checks Vite Docs link functionality",""
"passed","Fri Mar 24 16:01:09 GMT 2023","Fri Mar 24 16:01:10 GMT 2023","848","","Check Apps functionality","","","","Check fileds validation",""
"passed","Fri Mar 24 16:18:38 GMT 2023","Fri Mar 24 16:18:38 GMT 2023","318","Shared Routes 2","Check Shared-routes App 2 starts and running","","","","Check App 2 UI and buttons Home, About",""
