"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 30 20:26:52 GMT 2023","Mon Oct 30 20:26:53 GMT 2023","621","Vite React Simple","It checks elements visibility/functionality","","","","Checks edit message visibility",""
"passed","Mon Oct 30 20:29:41 GMT 2023","Mon Oct 30 20:29:41 GMT 2023","283","Vue 2 in Vue 3","It checks vue2-in-vue3 connection sample","","","","Check that in Vue2 App app by default counter set to 0",""
"passed","","","","Different React Versions","Check App2","","","","Check App build and running",""
"passed","Mon Oct 30 20:26:59 GMT 2023","Mon Oct 30 20:26:59 GMT 2023","490","Vite React Simple","It checks buttons & links on page","","","","Checks webpack texted button color",""
"passed","Mon Oct 30 20:05:28 GMT 2023","Mon Oct 30 20:05:28 GMT 2023","1","Different React Versions Isolated","Check App 1","","","","Check App 1 inject React version 16.14.0 block into a div parent element",""
"passed","Mon Oct 30 20:26:15 GMT 2023","Mon Oct 30 20:26:15 GMT 2023","0","Version Descrepancy","It checks apps with dependency versions discrepancy","","","","Checks Lodash version for App 2: Remote",""
"passed","Mon Oct 30 20:07:04 GMT 2023","Mon Oct 30 20:07:04 GMT 2023","236","CSS isolation","Check App 2 colors","","","","Check button in App 2 exist",""
"passed","Mon Oct 30 20:29:41 GMT 2023","Mon Oct 30 20:29:41 GMT 2023","197","Vue 2 in Vue 3","It checks vue2-in-vue3 connection sample","","","","Checks component state visibility for Vue2 App",""
"passed","Mon Oct 30 20:07:04 GMT 2023","Mon Oct 30 20:07:04 GMT 2023","0","CSS isolation","Check App 1","","","","Check button in App 1 exist",""
"passed","Mon Oct 30 20:07:57 GMT 2023","Mon Oct 30 20:07:58 GMT 2023","411","Angular 12 microfrontends","Check MDMF PROFILE","","","","Check MDMF PROFILE build and running (Check elements: Navigation, Header, Paragpaph)",""
"passed","Mon Oct 30 20:07:04 GMT 2023","Mon Oct 30 20:07:04 GMT 2023","0","CSS isolation","Check App 1 colors","","","","Check App 1 color text",""
"passed","Mon Oct 30 20:07:56 GMT 2023","Mon Oct 30 20:07:57 GMT 2023","1165","Angular 12 microfrontends","Check MDMF SHELL","","","","Check MDMF SHELL build and running (Check elements: Navigation, Header, Paragpaph)",""
"passed","Mon Oct 30 20:29:40 GMT 2023","Mon Oct 30 20:29:41 GMT 2023","276","Vue 2 in Vue 3","It checks vue2-in-vue3 connection sample","","","","Check that in Vue2 App button is active",""
"passed","Mon Oct 30 20:29:54 GMT 2023","Mon Oct 30 20:29:57 GMT 2023","2447","NextJS SSR","Check links on Checkout page","","","","Check that ZEIT text includes link and is not disabled",""
"passed","Mon Oct 30 20:14:53 GMT 2023","Mon Oct 30 20:14:53 GMT 2023","0","Dynamic System Host","Check App 1","","","","Check functionality in App 1",""
"passed","Mon Oct 30 20:28:47 GMT 2023","Mon Oct 30 20:28:48 GMT 2023","878","Vite Vue Microfrontends","It checks host app","","","","Checks that host card button text includes counter which changed after click & check value reverted after reload",""
"passed","Mon Oct 30 20:29:41 GMT 2023","Mon Oct 30 20:29:44 GMT 2023","2825","NextJS SSR","Check the content of Checkout page","","","","Check the header content of Checkout page",""
"passed","Mon Oct 30 20:26:54 GMT 2023","Mon Oct 30 20:26:55 GMT 2023","644","Vite React Simple","It checks elements colors/functionality","","","","Checks react logo is rotating",""
"passed","Mon Oct 30 20:28:53 GMT 2023","Mon Oct 30 20:28:55 GMT 2023","2227","NextJS SSR","Check links on Home page","","","","Check that Home text includes link, is not disabled",""
"passed","Mon Oct 30 20:11:07 GMT 2023","Mon Oct 30 20:11:07 GMT 2023","0","Comprehencive Demo React 18","Check is Comprehensive Demo App1 working and have elements","","","","Check UI Library elements",""
"passed","Mon Oct 30 20:29:49 GMT 2023","Mon Oct 30 20:29:50 GMT 2023","385","Vue 2 in Vue 3","It checks vue2-in-vue3 connection sample","","","","Check that in Vue3 App app by default counter set to 0",""
"passed","Mon Oct 30 20:29:52 GMT 2023","Mon Oct 30 20:29:54 GMT 2023","2220","Vue 2 in Vue 3","It checks vue2-in-vue3 connection sample","","","","Checks that clicks counter is not shared between apps",""
"passed","Mon Oct 30 20:14:53 GMT 2023","Mon Oct 30 20:14:53 GMT 2023","0","Dynamic System Host","Check App 1","","","","Check buttons in App 1 exist",""
"passed","Mon Oct 30 20:30:26 GMT 2023","Mon Oct 30 20:30:26 GMT 2023","0","Vue 3 Demo","It checks app names & messages","","","","Checks that button is not disabled",""
"passed","Mon Oct 30 20:30:27 GMT 2023","Mon Oct 30 20:30:28 GMT 2023","330","Vue 3 Demo","It checks layout app","","","","Checks remote component includes button with text",""
"passed","","","","Federated npm","Check App 2","","","","Check header block with text visibility",""
"passed","Mon Oct 30 20:28:46 GMT 2023","Mon Oct 30 20:28:47 GMT 2023","476","Vite Vue Microfrontends","It checks host app","","","","Checks host app card color is set to blue",""
"passed","Mon Oct 30 20:26:15 GMT 2023","Mon Oct 30 20:26:15 GMT 2023","0","Version Descrepancy","It checks apps with dependency versions discrepancy","","","","Checks that both apps shares same remote component style",""
"passed","Mon Oct 30 20:11:07 GMT 2023","Mon Oct 30 20:11:07 GMT 2023","0","Comprehencive Demo React 18","Check is Comprehensive Demo App1 working and have elements","","","","Check Dialog elements",""
"passed","Mon Oct 30 20:28:45 GMT 2023","Mon Oct 30 20:28:45 GMT 2023","531","Vite Vue Microfrontends","It checks host app","","","","Checks both cards includes button",""
"passed","Mon Oct 30 20:29:12 GMT 2023","Mon Oct 30 20:29:17 GMT 2023","5486","NextJS SSR","Check links on Home page","","","","Check that Home navigation link works",""
"passed","Mon Oct 30 20:13:24 GMT 2023","Mon Oct 30 20:13:24 GMT 2023","522","Different React Versions","Check App2","","","","Check App build and running",""
