"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 24 07:20:44 GMT 2023","Mon Apr 24 07:20:45 GMT 2023","1594","Angular 14 React","Check Angular-React Application","","","","Check App build and running",""
"passed","Mon Apr 24 07:36:00 GMT 2023","Mon Apr 24 07:36:01 GMT 2023","1302","Angular 15 microfrontends lazy components","Check Apps functionality","","","","Check removing user from table (Remove form Profile)",""
"passed","Mon Apr 24 07:36:05 GMT 2023","Mon Apr 24 07:36:07 GMT 2023","2150","Angular 15 microfrontends lazy components","Check Apps functionality","","","","Check adding two users and delete one of them (Remove form Shell)",""
"passed","Mon Apr 24 07:35:58 GMT 2023","Mon Apr 24 07:36:00 GMT 2023","1314","Angular 15 microfrontends lazy components","Check Apps functionality","","","","Check added user visible on both Apps",""
"passed","Mon Apr 24 07:36:03 GMT 2023","Mon Apr 24 07:36:05 GMT 2023","2193","Angular 15 microfrontends lazy components","Check Apps functionality","","","","Check adding two users and delete one of them (Remove form Profile)",""
"passed","Mon Apr 24 07:36:01 GMT 2023","Mon Apr 24 07:36:03 GMT 2023","1691","Angular 15 microfrontends lazy components","Check Apps functionality","","","","Check removing user from table (Remove form Shell)",""
"passed","Mon Apr 24 07:35:58 GMT 2023","Mon Apr 24 07:35:58 GMT 2023","794","Angular 15 microfrontends lazy components","Check MDMF PROFILE App Page","","","","Check App is build and running",""
"passed","Mon Apr 24 07:20:26 GMT 2023","Mon Apr 24 07:20:27 GMT 2023","466","Angular 12 microfrontends","Check MDMF PROFILE","","","","Check MDMF PROFILE build and running (Check elements: Navigation, Header, Paragpaph)",""
"passed","Mon Apr 24 07:36:07 GMT 2023","Mon Apr 24 07:36:08 GMT 2023","928","Angular 15 microfrontends lazy components","Check Apps functionality","","","","Check fields validation",""
"passed","Mon Apr 24 07:20:45 GMT 2023","Mon Apr 24 07:20:46 GMT 2023","1025","Angular 14 React","Check Angular-React Application","","","","Add user to the table",""
"passed","Mon Apr 24 07:24:13 GMT 2023","Mon Apr 24 07:24:14 GMT 2023","614","","Check Apps functionality","","","","Check fileds validation",""
"passed","Mon Apr 24 07:20:46 GMT 2023","Mon Apr 24 07:20:47 GMT 2023","874","Angular 14 React","Check Angular-React Application","","","","Remove user from the table",""
"passed","Mon Apr 24 07:20:25 GMT 2023","Mon Apr 24 07:20:26 GMT 2023","1032","Angular 12 microfrontends","Check MDMF SHELL","","","","Check MDMF SHELL build and running (Check elements: Navigation, Header, Paragpaph)",""
