"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 05 18:18:09 GMT 2023","Wed Apr 05 18:18:09 GMT 2023","288","Angular Universal SSR","It checks host app","","","","Checks that by default added values quantity equal to 3",""
"passed","Wed Apr 05 18:18:12 GMT 2023","Wed Apr 05 18:18:12 GMT 2023","745","Angular Universal SSR","It checks host app","","","","Checks that newly added value disappears after reload",""
"passed","Wed Apr 05 18:18:10 GMT 2023","Wed Apr 05 18:18:11 GMT 2023","670","Angular Universal SSR","It checks host app","","","","Checks that after applying value status in input it can be added more then once",""
"passed","Wed Apr 05 18:18:06 GMT 2023","Wed Apr 05 18:18:06 GMT 2023","2","Angular Universal SSR","It checks client app","","","","Checks cities block visibility",""
"passed","Wed Apr 05 18:18:13 GMT 2023","Wed Apr 05 18:18:14 GMT 2023","384","Angular Universal SSR","It checks host app","","","","Checks cities block appears after click on federation tab",""
"passed","Wed Apr 05 18:21:43 GMT 2023","Wed Apr 05 18:21:44 GMT 2023","941","Angular 14 React","Check Angular-React Application","","","","Remove user from the table",""
"passed","Wed Apr 05 18:18:08 GMT 2023","Wed Apr 05 18:18:09 GMT 2023","708","Angular Universal SSR","It checks host app","","","","Checks value input has no validation",""
"passed","Wed Apr 05 18:18:06 GMT 2023","Wed Apr 05 18:18:06 GMT 2023","0","Angular Universal SSR","It checks client app","","","","Clicks on city by name and checks description with text appear",""
"unknown","Wed Apr 05 18:18:19 GMT 2023","Wed Apr 05 18:18:19 GMT 2023","2","Angular Universal SSR","It checks components functionality","","","","Checks link changes after click on Home tab & check link is not reverted after reload",""
"passed","Wed Apr 05 18:18:07 GMT 2023","Wed Apr 05 18:18:07 GMT 2023","299","Angular Universal SSR","It checks host app","","","","Checks value input is not disabled",""
"passed","Wed Apr 05 18:21:40 GMT 2023","Wed Apr 05 18:21:42 GMT 2023","1779","Angular 14 React","Check Angular-React Application","","","","Check App build and running",""
"passed","Wed Apr 05 18:18:06 GMT 2023","Wed Apr 05 18:18:07 GMT 2023","298","Angular Universal SSR","It checks host app","","","","Checks app root component header text",""
"passed","Wed Apr 05 18:18:13 GMT 2023","Wed Apr 05 18:18:13 GMT 2023","266","Angular Universal SSR","It checks host app","","","","Checks tab names visibility",""
"passed","Wed Apr 05 18:18:06 GMT 2023","Wed Apr 05 18:18:06 GMT 2023","1","Angular Universal SSR","It checks client app","","","","Checks that selection of city info can be reverted after reload",""
"passed","Wed Apr 05 18:18:18 GMT 2023","Wed Apr 05 18:18:19 GMT 2023","631","Angular Universal SSR","It checks components functionality","","","","Checks that Home component element text will be visible only if Home tab is active & text is not reverted after reload",""
"passed","Wed Apr 05 18:18:20 GMT 2023","Wed Apr 05 18:18:21 GMT 2023","628","Angular Universal SSR","It checks components functionality","","","","Checks that Federation component element text will be visible only if Federation tab is active & text is not reverted after reload",""
"passed","Wed Apr 05 18:18:13 GMT 2023","Wed Apr 05 18:18:13 GMT 2023","256","Angular Universal SSR","It checks host app","","","","Checks that tabs quantity equal to 3",""
"passed","Wed Apr 05 18:18:14 GMT 2023","Wed Apr 05 18:18:15 GMT 2023","1737","Angular Universal SSR","It checks host app","","","","Checks that cities block which appears after click on federation tab is equal to one in client app",""
"passed","Wed Apr 05 18:18:09 GMT 2023","Wed Apr 05 18:18:10 GMT 2023","282","Angular Universal SSR","It checks host app","","","","Checks basically added values names",""
"passed","Wed Apr 05 18:18:06 GMT 2023","Wed Apr 05 18:18:06 GMT 2023","0","Angular Universal SSR","It checks client app","","","","Checks base cities names visibility",""
"passed","Wed Apr 05 18:18:10 GMT 2023","Wed Apr 05 18:18:10 GMT 2023","596","Angular Universal SSR","It checks host app","","","","Checks add new value functionality",""
"passed","Wed Apr 05 18:21:42 GMT 2023","Wed Apr 05 18:21:43 GMT 2023","1160","Angular 14 React","Check Angular-React Application","","","","Add user to the table",""
"passed","Wed Apr 05 18:18:19 GMT 2023","Wed Apr 05 18:18:20 GMT 2023","645","Angular Universal SSR","It checks components functionality","","","","Checks link changes after click on Angular tab & check link is not reverted after reload",""
