"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 23 10:45:45 GMT 2023","Thu Mar 23 10:45:48 GMT 2023","3392","NextJS SSR","Check content in Checkout app","","","","Check the header content of Home page",""
"passed","Thu Mar 23 10:51:45 GMT 2023","Thu Mar 23 10:51:46 GMT 2023","792","Redux Reducer Injection","Checks application","","","","Check that Welcome to Host App text is visible",""
"passed","Thu Mar 23 10:29:46 GMT 2023","Thu Mar 23 10:29:46 GMT 2023","2","Basic Host remote","Check App 1","","","","Check App 1 built and running",""
"passed","Thu Mar 23 10:32:36 GMT 2023","Thu Mar 23 10:32:38 GMT 2023","2074","","Check Apps functionality","","","","Check adding two users and delete one of them (Remove form Shell)",""
"passed","Thu Mar 23 10:54:46 GMT 2023","Thu Mar 23 10:54:47 GMT 2023","874","Vite React Microfrontends","It checks host app","","","","Checks both cards button is not disabled",""
"passed","Thu Mar 23 10:28:41 GMT 2023","Thu Mar 23 10:28:42 GMT 2023","695","Complete React case","Check App1","","","","Check App Dialog popup",""
"passed","Thu Mar 23 10:36:02 GMT 2023","Thu Mar 23 10:36:02 GMT 2023","190","Different React Versions Isolated","Check App 2","","","","Check App 2 have App 2 subheader",""
"passed","Thu Mar 23 12:26:09 GMT 2023","Thu Mar 23 12:26:09 GMT 2023","452","Vite Svelte Microfrontends","It checks host app","","","","Checks remote app card color is set to black",""
"passed","Thu Mar 23 12:27:16 GMT 2023","Thu Mar 23 12:27:17 GMT 2023","857","Vite React Simple","It checks elements visibility/functionality","","","","Checks intro message visibility",""
"passed","Thu Mar 23 10:56:10 GMT 2023","Thu Mar 23 10:56:11 GMT 2023","345","Vite Vue Microfrontends","It checks names and symbols inside cards","","","","Checks cloud symbol visibility for remote card",""
"passed","Thu Mar 23 10:29:46 GMT 2023","Thu Mar 23 10:29:46 GMT 2023","1","Basic Host remote","Check App 1","","","","Check buttons in App 1 exist",""
"passed","Thu Mar 23 12:26:11 GMT 2023","Thu Mar 23 12:26:11 GMT 2023","364","Vite Svelte Microfrontends","It checks names and symbols inside cards","","","","Checks host card includes status",""
"passed","Thu Mar 23 10:40:10 GMT 2023","Thu Mar 23 10:40:10 GMT 2023","334","NextJS React","Check remote app","","","","Check button color",""
"passed","Thu Mar 23 10:30:43 GMT 2023","Thu Mar 23 10:30:43 GMT 2023","0","Comprehemsive Demo React 16","Check is Comprehensive Demo App2 working and have elements","","","","Check App build and running & Check app elements exist",""
"passed","Thu Mar 23 12:26:09 GMT 2023","Thu Mar 23 12:26:09 GMT 2023","352","Vite Svelte Microfrontends","It checks host app","","","","Checks host app card color is set to blue",""
"passed","Thu Mar 23 10:54:45 GMT 2023","Thu Mar 23 10:54:46 GMT 2023","807","Vite React Microfrontends","It checks host app","","","","Checks both cards includes button",""
"passed","Thu Mar 23 10:40:09 GMT 2023","Thu Mar 23 10:40:09 GMT 2023","0","NextJS React","Check host app","","","","Check button color",""
"passed","Thu Mar 23 10:40:17 GMT 2023","Thu Mar 23 10:40:17 GMT 2023","0","Dynamic Remotes","Check App 2","","","","Check buttons in App 2 exist",""
"passed","Thu Mar 23 10:38:20 GMT 2023","Thu Mar 23 10:38:20 GMT 2023","1","Federated npm","Check App 2","","","","Check button text visibility",""
"passed","Thu Mar 23 10:30:43 GMT 2023","Thu Mar 23 10:30:43 GMT 2023","0","Comprehemsive Demo React 16","Check is Comprehensive Demo App1 working and have elements","","","","Check Routing elements",""
"passed","Thu Mar 23 10:40:17 GMT 2023","Thu Mar 23 10:40:18 GMT 2023","974","Dynamic Remotes","Check App 3","","","","Check App 3 elements exist on the page",""
"passed","Thu Mar 23 10:53:36 GMT 2023","Thu Mar 23 10:53:36 GMT 2023","0","Typescript Monorepo","It checks typescript-monorepo apps","","","","Check App 1 app name visibility",""
"passed","Thu Mar 23 10:42:22 GMT 2023","Thu Mar 23 10:42:22 GMT 2023","0","","It checks host page","","","","Checks change root file functionality",""
"passed","Thu Mar 23 10:51:46 GMT 2023","Thu Mar 23 10:51:46 GMT 2023","309","Redux Reducer Injection","Checks application","","","","Check that RemoteApp text is visible",""
"passed","Thu Mar 23 10:28:41 GMT 2023","Thu Mar 23 10:28:41 GMT 2023","300","Complete React case","Check App1","","","","Check App buttons",""
"passed","Thu Mar 23 10:45:45 GMT 2023","Thu Mar 23 10:45:45 GMT 2023","3","NextJS SSR","Check content in Home app","","","","Check the header content of Home page",""
"passed","Thu Mar 23 12:27:20 GMT 2023","Thu Mar 23 12:27:21 GMT 2023","594","Vite React Simple","It checks elements colors/functionality","","","","Checks react logo is rotating",""
"passed","Thu Mar 23 10:42:22 GMT 2023","Thu Mar 23 10:42:22 GMT 2023","1","","It checks elements visibility","","","","Checks Get started message visibility",""
"passed","Thu Mar 23 10:42:22 GMT 2023","Thu Mar 23 10:42:22 GMT 2023","0","","It checks host page","","","","Checks texted links cards quantity",""
"passed","Thu Mar 23 10:36:01 GMT 2023","Thu Mar 23 10:36:02 GMT 2023","240","Different React Versions Isolated","Check App 2","","","","Check App 2 have Remote Application - React Version 16.14.0 header",""
"passed","Thu Mar 23 10:56:11 GMT 2023","Thu Mar 23 10:56:11 GMT 2023","542","Vite Vue Microfrontends","It checks names and symbols inside cards","","","","Checks remote card includes status",""
"passed","Thu Mar 23 12:25:39 GMT 2023","Thu Mar 23 12:25:39 GMT 2023","1","Automatic Vendor Sharing","Check App 1","","","","Check button property in App 1",""
"passed","Thu Mar 23 10:53:36 GMT 2023","Thu Mar 23 10:53:36 GMT 2023","1","Typescript Project Reference","It checks typescript-project-references apps","","","","Check App 1 app name visibility",""
"passed","Thu Mar 23 10:28:57 GMT 2023","Thu Mar 23 10:28:58 GMT 2023","586","Angular 11 microfrontends NGXS","Check MDMF PROFILE App Page","","","","Check App is build and running",""
"passed","Thu Mar 23 10:28:20 GMT 2023","Thu Mar 23 10:28:20 GMT 2023","12","Delegate Modules","Check App 1","","","","Check header block with text visibility",""
"passed","Thu Mar 23 10:29:46 GMT 2023","Thu Mar 23 10:29:46 GMT 2023","483","Basic Host remote","Check App 2","","","","Check App 2 built and running",""
"passed","Thu Mar 23 10:42:22 GMT 2023","Thu Mar 23 10:42:22 GMT 2023","0","","It checks elements visibility","","","","Checks Powered by message visibility",""
"passed","Thu Mar 23 10:42:22 GMT 2023","Thu Mar 23 10:42:22 GMT 2023","0","","It checks elements visibility","","","","Checks Footer message visibility",""
"passed","Thu Mar 23 12:26:09 GMT 2023","Thu Mar 23 12:26:11 GMT 2023","1197","Vite Svelte Microfrontends","It checks host app","","","","Checks console messages",""
"passed","Thu Mar 23 10:56:05 GMT 2023","Thu Mar 23 10:56:05 GMT 2023","0","Vue 3 Demo","It checks app names & messages","","","","Checks that button is not disabled",""
"passed","Thu Mar 23 10:34:20 GMT 2023","Thu Mar 23 10:34:21 GMT 2023","612","Angular Universal SSR","It checks components functionality","","","","Checks link changes after click on Angular tab & check link is not reverted after reload",""
"passed","Thu Mar 23 10:28:20 GMT 2023","Thu Mar 23 10:28:20 GMT 2023","421","Delegate Modules","Check App 2","","","","Check header block with text visibility",""
"passed","Thu Mar 23 10:30:52 GMT 2023","Thu Mar 23 10:30:52 GMT 2023","0","Comprehencive Demo React 18","Check is Comprehensive Demo App4 working and have elements","","","","Check App build and running & Check app elements exist",""
"passed","Thu Mar 23 10:46:18 GMT 2023","Thu Mar 23 10:46:21 GMT 2023","2941","NextJS SSR","Check links on Home page","","","","Check that Examples → text includes link and is not disabled",""
"passed","Thu Mar 23 10:30:43 GMT 2023","Thu Mar 23 10:30:43 GMT 2023","0","Comprehemsive Demo React 16","Check is Comprehensive Demo App3 working and have elements","","","","Check App build and running & Check app elements exist",""
"passed","Thu Mar 23 10:50:32 GMT 2023","Thu Mar 23 10:50:40 GMT 2023","7803","Shared Routing","It checks profile page functionality","","","","checks that each non disabled field clears after reload",""
"passed","Thu Mar 23 10:48:32 GMT 2023","Thu Mar 23 10:48:32 GMT 2023","1","Startup Code","It checks startup-code apps","","","","Check App 1 contains button",""
"passed","Thu Mar 23 10:33:54 GMT 2023","Thu Mar 23 10:33:54 GMT 2023","1","Angular Universal SSR","It checks client app","","","","Checks cities block visibility",""
"passed","Thu Mar 23 10:36:01 GMT 2023","Thu Mar 23 10:36:01 GMT 2023","0","Different React Versions Isolated","Check App 1","","","","Check Apps share div with React version 16.14.0",""
"passed","Thu Mar 23 10:44:21 GMT 2023","Thu Mar 23 10:44:21 GMT 2023","482","React HMR","Check remote app","","","","Check the button works",""
"passed","Thu Mar 23 10:30:52 GMT 2023","Thu Mar 23 10:30:52 GMT 2023","0","Comprehencive Demo React 18","Check is Comprehensive Demo App1 working and have elements","","","","Check Dialog elements",""
"passed","Thu Mar 23 10:33:54 GMT 2023","Thu Mar 23 10:33:55 GMT 2023","640","Angular Universal SSR","It checks host app","","","","Checks app root component visibility",""
"passed","Thu Mar 23 10:56:05 GMT 2023","Thu Mar 23 10:56:05 GMT 2023","273","Vue 3 Demo","It checks layout app","","","","Checks page header with text visibility",""
"passed","Thu Mar 23 10:30:15 GMT 2023","Thu Mar 23 10:30:16 GMT 2023","954","Angular 15 microfrontends lazy components","Check Apps functionality","","","","Check added user visible on both Apps",""
"passed","Thu Mar 23 10:56:05 GMT 2023","Thu Mar 23 10:56:05 GMT 2023","0","Vue 3 Demo","It checks app names & messages","","","","Checks component state message visibility",""
"skipped","Thu Mar 23 10:45:27 GMT 2023","Thu Mar 23 10:45:27 GMT 2023","221","React in Vue","Check React in Vue Apps","","","","Check change button name",""
"passed","Thu Mar 23 10:29:44 GMT 2023","Thu Mar 23 10:29:44 GMT 2023","718","Angular 14 React","Check Angular-React Application","","","","Check fields validation",""
"passed","Thu Mar 23 12:25:39 GMT 2023","Thu Mar 23 12:25:40 GMT 2023","316","Automatic Vendor Sharing","Check App 2","","","","Check button property in App 2",""
"passed","Thu Mar 23 10:53:36 GMT 2023","Thu Mar 23 10:53:37 GMT 2023","194","Typescript Monorepo","It checks typescript-monorepo apps","","","","Check App 2 app name visibility",""
"passed","Thu Mar 23 10:47:24 GMT 2023","Thu Mar 23 10:47:24 GMT 2023","1","Server Side Render Only","Check Host Server App","","","","Check Host Server app build and running + check elemens exist",""
"passed","Thu Mar 23 10:38:02 GMT 2023","Thu Mar 23 10:38:02 GMT 2023","320","Loadable React 18","Check App2","","","","Check App elements visability",""
